# Seasonal factor applied to every room's baseRate, per property per calendar
# month. rate = round(baseRate * factor) to the nearest 50 rupees.
#
# Calendar months, not dated months, so this sheet does not go stale: the loader
# reads the next 12 months from whenever it runs.
#
# DRAFT. These curves are destination seasonality, not observed Sinclairs
# demand - nothing public reports occupancy by month. Replace them with what the
# properties actually see. A single month that needs its own number is better
# set on the Set-up page afterwards than bent into this curve.
hotelSlug,month,factor,note
burdwan,1,1.00,transit and business trade - little seasonality
burdwan,2,1.00,
burdwan,3,1.00,
burdwan,4,1.00,
burdwan,5,1.05,
burdwan,6,0.95,
burdwan,7,0.95,
burdwan,8,0.95,
burdwan,9,1.00,
burdwan,10,1.10,
burdwan,11,1.05,
burdwan,12,1.00,
darjeeling,1,0.85,hill station - spring and autumn peak, monsoon trough Jul-Aug
darjeeling,2,0.90,
darjeeling,3,1.10,
darjeeling,4,1.25,
darjeeling,5,1.30,
darjeeling,6,1.15,
darjeeling,7,0.75,
darjeeling,8,0.75,
darjeeling,9,0.90,
darjeeling,10,1.25,
darjeeling,11,1.10,
darjeeling,12,1.05,
dooars,1,1.10,forest parks shut mid-Jun to mid-Sep - winter safari peak
dooars,2,1.10,
dooars,3,1.05,
dooars,4,1.00,
dooars,5,0.95,
dooars,6,0.70,
dooars,7,0.65,
dooars,8,0.65,
dooars,9,0.75,
dooars,10,1.20,
dooars,11,1.25,
dooars,12,1.20,
gangtok,1,0.85,hill station - spring and autumn peak, monsoon trough Jul-Aug
gangtok,2,0.90,
gangtok,3,1.10,
gangtok,4,1.25,
gangtok,5,1.30,
gangtok,6,1.15,
gangtok,7,0.75,
gangtok,8,0.75,
gangtok,9,0.90,
gangtok,10,1.25,
gangtok,11,1.10,
gangtok,12,1.05,
kalimpong,1,0.85,hill station - spring and autumn peak, monsoon trough Jul-Aug
kalimpong,2,0.90,
kalimpong,3,1.10,
kalimpong,4,1.25,
kalimpong,5,1.30,
kalimpong,6,1.15,
kalimpong,7,0.75,
kalimpong,8,0.75,
kalimpong,9,0.90,
kalimpong,10,1.25,
kalimpong,11,1.10,
kalimpong,12,1.05,
ooty,1,0.90,south Indian summer season Apr-Jun is the peak
ooty,2,0.90,
ooty,3,1.05,
ooty,4,1.30,
ooty,5,1.35,
ooty,6,1.15,
ooty,7,0.85,
ooty,8,0.85,
ooty,9,0.95,
ooty,10,1.10,
ooty,11,0.95,
ooty,12,1.10,
port-blair,1,1.30,Nov-Feb peak - south-west monsoon trough May-Sep
port-blair,2,1.30,
port-blair,3,1.15,
port-blair,4,1.05,
port-blair,5,0.80,
port-blair,6,0.70,
port-blair,7,0.70,
port-blair,8,0.70,
port-blair,9,0.75,
port-blair,10,1.00,
port-blair,11,1.25,
port-blair,12,1.35,
siliguri,1,1.00,transit and business trade - little seasonality
siliguri,2,1.00,
siliguri,3,1.00,
siliguri,4,1.00,
siliguri,5,1.05,
siliguri,6,0.95,
siliguri,7,0.95,
siliguri,8,0.95,
siliguri,9,1.00,
siliguri,10,1.10,
siliguri,11,1.05,
siliguri,12,1.00,
udaipur,1,1.25,Oct-Mar wedding and tourist peak - Apr-Jun desert heat trough
udaipur,2,1.30,
udaipur,3,1.15,
udaipur,4,0.85,
udaipur,5,0.70,
udaipur,6,0.70,
udaipur,7,0.80,
udaipur,8,0.85,
udaipur,9,0.95,
udaipur,10,1.25,
udaipur,11,1.35,
udaipur,12,1.35,
